Это откровенно слабый фильм, который демонстрирует то, на сколько студия Дисней сдала свои позиции на поприще семейного кино;-1
Первое, за что хочется отругать создателей картины — это то, с каким серьезным видом они несут псевдонаучную ахинею в массы;-1
Фильм буквально задушен пафосом;-1
Впечатление от всего этого жуткое;-1
Актеры играют просто кошмарно, но я их даже и ругать не буду. Ну видно же, что этих бездарей набрали где-то в курилке киностудии;-1
В общем, эта история меня не просто не тронула, но вызвала отвращение. Извращенство какое-то;-1
Худшее мы видим в «Менталисте»;-1
интересная история была загублена ужасным исполнением;-1
На протяжении почти двух часов, мы наблюдаем как неинтересные, безликие персонажи бессмысленно перемещаются по нескольким блёклым локациям;-1
Картина получилась пустой и скучной. Режиссёрская и операторская работа — посредственные. Картинка отдаёт дешевизной;-1
фильма абсолютно невменяемый сценарий;-1
Пустое, лишенное смысла зрелище с убогой актерской игрой;-1
не оправдывает потраченного времени на безвкусицу и вульгарность сценария;-1
Новая Лара получилась слишком пресной, плоской, предсказуемой да и просто глупой;-1
любого здравомыслящего зрителя поразит количество запредельных глупостей в фильме;-1
Бессодержательные диалоги, невероятно скучное развитие нестройного сюжета, будто надкусанного чьими-то жадными зубами, откровенно глупые сцены;-1
Простая как три копейки история, банальная до безумия, с вымученным и избитым за последние годы призывом к безграничной толерантности;-1
Нет ничего эпичного в бессмысленности и жестокости;-1
Серия деградирует с колоссальной скоростью и это очень печально;-1
Самым слабым в фильме является конечно же сценарий в нем много нелогичных мест, неувязок, многие сюжетные ветки и сцены никак не влияют на развитие основной сюжетной истории;-1
Смотреть было скучно. Всё очень нудно, уныло и практически совсем неинтересно;-1
Эти постоянные, совсем необязательные, невзрачные и ни о чём не говорящие флешбэки, невнятность и банальность сюжета;-1
Последние джедаи ужасны;-1
Он пресный, совершенно никакой;-1
Тем острее и неприятнее было чувство брезгливой неловкости и горечи, которое я испытал после просмотра;-1
имеем провисание сюжета, несуразности и просто довольно скучное кино;-1
Большинство актеров «деревянные», их игра паршивая, эмоции наигранные;-1
Просто мне было невыносимо больно и тошно;-1
Главная героиня- мерзкая, склочная, неуравновешенная, и при этом предельно наглая не внушает ничего кроме отвращения;-1
либо Гильермо дель Торо на старости лет совсем сошел с ума и стал одним из худших режиссеров современности, ибо подобной чуши я действительно давно не видел;-1
А так же ужаснейшие рояли в кустах, настолько нелепых притянутых за уши совпадений, я не видел никогда;-1
Начнём с того, что этот фильм — худшее, что видел в своей жизни;-1
Музыка в фильме в основном служит для создания напряжения. Но она со своей задачей абсолютно не справляется. Фильм представляет собой унылое, максимально неинтересное зрелище.;-1
В этом фильме так много дурацких сцен, что я буду помечать самые абсурдные из них вот такой звездочкой:"*". Но обо всем по порядку.;-1
Неинтересный и во многом предсказуемый сюжет, топорное исполнение, отсутствие хоть каких-то цепляющих режиссерско-операторских находок, полное незнание внутрироссийских буднично-бытовых реалий. Получили то, что получили. Пожалуй, самое некачественное кино за последнее время;-1
В итоге из всех указанных моментов в совокупности и создается пародия на некогда качественную историю. «Последние джедаи» проигрывают даже никчемному «Пробуждению силы». Очень обидно за хорошую историю, которую окунули в отхожую яму. Не ждал ничего хорошего от этой новой серии, но всё равно смогли неприятно удивить;-1
Фильм не буду рекомендовать к просмотру, но его можно глянуть от большой скуки, чтобы ещё раз поругать, на этот раз вполне заслуженно, нашенский кинематограф. Хотя такого творческого попустительства, откровенного отсутствия идеи, от Учителя не ожидал, оттуда всё это разочарование;-1
НЕНАВИЖУ. ПОЗВОЛЬТЕ МНЕ СКАЗАТЬ ВАМ, НАСКОЛЬКО Я ВОЗНЕНАВИДЕЛ ВАС С ТЕХ ПОР, КАК Я НАЧАЛ ЖИТЬ;-1
Я ненавижу своего брата так как это самый грубый, ленивый, невоспитаный человек в нашей семье;-1
я плохо отношусь к алкоголю; -1
ты ужасно себя вел последнее время;-1
не вызывает сомнений, что политика, проводимая нашими властями в последние годы может вызывать сугубо негативные, отрицательные эмоции;-1
Хуже всего то, что я не могу с уверенностью определить, действительно ли он что-то чувствует, или это всего лишь приступ паранойи;-1
